동,utm_x,utm_y,가격,소재지,매물특징,계약/전용면적,해당층/총층,입주가능일,방향,현재업종,추천업종,용도지역,주구조,사용승인일,매물번호,제목,대지/연면적,건축/전용면적,지상층/지하층,용적률/건폐율,월관리비,현재용도,추천용도,총점포수,사용전력,총사무실수,권리금,준공인가일,사용검사일,경도,위도
예시동,305460.9371675834,3888754.622149137,"월세2,000/90",광주시 서구 금호동,無권리 마재우체국인근 철거예정 교통편리 관리비없음,193.72㎡/193.72㎡(전용률100%),4/5층,즉시입주,남동향(주된 출입구 기준),,,,,2002.07.15,2514993313,중소형사무실4층,,,,,-,,,,,-,,,,126.8650757,35.1228682
예시동,305460.9371675834,3888754.622149137,"월세1,500/130",광주시 서구 금호동,"사진有,무권리,순환도로근접,내부칸막이 공간분리,컨디션최상,교통 접근성편리",182.38㎡/182.38㎡(전용률100%),4/5층,즉시입주,남동향(주된 출입구 기준),,,,,2003.02.13,2514398419,대형사무실4층,,,,,10만원,,,,,-,,,,126.8650757,35.1228682
예시동,305460.9371675834,3888754.622149137,"월세1,500/130",광주시 서구 금호동,"사진有,무권리,순환도로근접,내부칸막이 공간분리,컨디션최상,교통 접근성편리",182.38㎡/182.38㎡(전용률100%),4/5층,즉시입주,남동향(주된 출입구 기준),,,,,2003.02.13,2514398419,대형사무실4층,,,,,10만원,,,,,-,,,,126.8650757,35.1228682
예시동,305460.9371675834,3888754.622149137,"월세2,000/90",광주시 서구 금호동,-,162㎡/162㎡(전용률100%),4/5층,즉시입주,남향(주된 출입구 기준),,,,,2002.07.15,2514078620,대형사무실4층,,,,,-,,,,,-,,,,126.8650757,35.1228682
예시동,305460.9371675834,3888754.622149137,"월세2,000/90",광주시 서구 금호동,-,162㎡/162㎡(전용률100%),4/5층,즉시입주,남향(주된 출입구 기준),,,,,2002.07.15,2514078620,대형사무실4층,,,,,-,,,,,-,,,,126.8650757,35.1228682
예시동,305511.35353121976,3888797.3165127733,"월세2,000/120",광주시 서구 금호동,마제우체국사거리코너 대로변 광고효과 좋음 입지좋음 구)사무실 시권없음,162㎡/162㎡(전용률100%),2/5층,즉시입주,남동향(주된 출입구 기준),공실(구.사무실),기타 점포,-,-,2002.04.13,2515915581,일반상가2층,,,,,10만원,,,,,,,,,126.8656186,35.1232626
예시동,305445.6302584925,3888728.550767319,"월세3,000/130",광주시 서구 금호동,無권리 신축급건물 마재우체국인근 대로변 내부최상 사무실추천,135.89㎡/135.89㎡(전용률100%),3/5층,즉시입주,남동향(주된 출입구 기준),,,,,2019.03.29,2514993424,중소형사무실3층,,,,,15만원,,,,,-,,,,126.8649139,35.1226303
예시동,305445.6302584925,3888728.550767319,"월세3,000/130",광주시 서구 금호동,MarKet.채광좋음.내부깔끔.보험 건설 사무실 의원 등추천,135.89㎡/135.89㎡(전용률100%),3/5층,즉시입주,남동향(주된 출입구 기준),공실(빈점포),보험 건설 사무실 추천,-,-,2019.03.29,2514949421,일반상가3층,,,,,15만원,,,,,,,,,126.8649139,35.1226303
예시동,305445.6302584925,3888728.550767319,"월세3,000/130",광주시 서구 금호동,-,135㎡/135㎡(전용률100%),3/5층,즉시입주,남동향(주된 출입구 기준),,,,,2019.03.29,2514877181,일반사무실3층,,,,,15만원,,,,,-,,,,126.8649139,35.1226303
예시동,305601.0467159551,3888763.8458990715,"월세3,000/70",광주시 서구 풍암동,"현성업중,4층,엘베있음,권리금조정가",99㎡/99㎡(전용률100%),4/4층,즉시입주,동향(주된 출입구 기준),-,(선택)안함,-,-,2011.04.11,2518908715,일반상가4층,,,,,20만원,,,,,,,,,126.8666101,35.1229784
예시동,305656.91362504597,3888767.293971799,"월세3,000/200",광주시 서구 풍암동,풍암2지구 사거리 코너 공실상가 임대,89.25㎡/85.95㎡(전용률96%),1/5층,즉시입주 협의가능,남향(주된 출입구 기준),-,풍암동 4거리 코너 공실상가,-,-,2003.03.27,2518894267,일반상가1층,,,,,5만원,,,,,,,,,126.8672221,35.1230202
